E[1] [eV],Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
15.150370,0.42521100,0.40740500,0.41057700,0.39758300,0.39691000,0.39870300,0.39996300
15.187970,0.42600800,0.40699400,0.40196800,0.39468600,0.39119500,0.39602100,0.39475300
15.225560,0.41924000,0.40192200,0.38975600,0.38782600,0.38401900,0.38934000,0.38656400
15.263160,0.40613900,0.39348800,0.37465100,0.37796200,0.37721200,0.38024800,0.37727700
15.300750,0.38904500,0.38522100,0.36008400,0.36777500,0.37170300,0.37171600,0.36830300
15.338350,0.37267300,0.37693100,0.35073800,0.35965400,0.36699200,0.36449400,0.36059600
15.375940,0.36155200,0.36618700,0.34656600,0.35431700,0.36154700,0.35723500,0.35494100
15.413530,0.35386300,0.35464100,0.34478900,0.34977000,0.35398600,0.35040600,0.35066200
15.451130,0.34728200,0.34431200,0.34301900,0.34441100,0.34450700,0.34469100,0.34603900
15.488720,0.34159500,0.33551500,0.33996400,0.33938800,0.33583700,0.33842100,0.34022800
15.526320,0.33352300,0.32846200,0.33616900,0.33401700,0.33029800,0.33162500,0.33385300
15.563910,0.32520600,0.32319700,0.33126500,0.32860300,0.32658700,0.32598700,0.32838700
15.601500,0.32307100,0.31928200,0.32528600,0.32537300,0.32279400,0.32208700,0.32429400
15.639100,0.32506000,0.31552400,0.31953500,0.32462200,0.31966800,0.31991600,0.32149200
